Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold
https://www.donedeal.ie/cars-for-sale/2013-ford-ka/33307849,2023-02-28,6995,Ford,KA,Edge,Base Trim,2013,130000.0,Petrol,Manual,Hatchback,1.2 litre,69hp,13.4 sec,4,3,Red,Ireland,4,200,Sep 2023,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/31826743,2023-02-28,6995,SEAT,Ibiza,S.E.,Medium Trim,2014,263000.0,Diesel,Manual,MPV,1.2 litre,75hp,13.9 sec,5,2,White,Ireland,3,190,Jun 2022,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/32493348,2023-02-28,6995,Opel,Astra,SC,Medium Trim,2014,215000.0,Diesel,Manual,Saloon,1.7 litre,110hp,12.4 sec,5,4,Grey,Ireland,4,190,Dec 2024,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/33159314,2023-02-28,6500,Hyundai,i30,Classic,Base Trim,2012,,Diesel,Manual,Hatchback,1.6 litre,90hp,14.9 sec,5,5,Grey,Ireland,---,180,Sep 2023,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/33159340,2023-02-28,6500,Renault,Grand Scenic,DYNAMIQUE,Medium Trim,2012,,Diesel,Manual,MPV,1.5 litre,110hp,13.3 sec,7,5,Black,Ireland,---,190,Jan 2024,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/32866951,2023-02-28,5995,Opel,Insignia,---,---,2012,183464.0,Diesel,---,Hatchback,2.0 litre,---,---,5,5,Brown,Ireland,---,200,Jan 2024,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/32493309,2023-02-28,5995,Renault,Megane,EXPRESSION,Base Trim,2012,170000.0,Diesel,Manual,Coupe,1.5 litre,90hp,12.5 sec,5,2,Grey,Ireland,3,190,Sep 2023,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/33159334,2023-02-28,5995,Hyundai,i30,Classic,Base Trim,2012,,Diesel,Manual,Estate,1.6 litre,90hp,14.9 sec,5,4,Grey,Ireland,1,200,May 2024,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/32907174,2023-02-28,5500,Kia,Ceed,TX,Medium Trim,2011,273587.0,Diesel,Manual,Hatchback,1.6 litre,115hp,11.5 sec,5,3,Black,Ireland,1,200,Nov 2023,
https://www.donedeal.ie/cars-for-sale/sale-sale-sale-sale-sale-sale/32866900,2023-02-28,5500,Renault,Megane,ROYALE,Base Trim,2012,225900.0,Diesel,Manual,Coupe,1.5 litre,90hp,12.5 sec,5,2,Silver,Ireland,2,200,Mar 2023,
