Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold,Engine Size,Horsepower
https://www.donedeal.ie/cars-for-sale/2011-audi-a7-3-0-tdi-automatic-nct-2025/37891903?campaign=3,2024-09-14,5995,Audi,A7,-,Base Trim,2011,293242.0,Diesel,Automatic,Hatchback,,,,4.0,5,Grey,,,,,2024-09-19,3.0 L,204 hp
https://www.donedeal.ie/cars-for-sale/nct-and-taxed-1-5-diesel/37887666?campaign=3,2024-09-14,3100,Nissan,Juke,,,2010,234000.0,Diesel,Manual,SUV,,,,5.0,---,Brown,,,,,2024-09-22,1.5 L,
https://www.donedeal.ie/cars-for-sale/peugeot-5008-automatic-nct-tax/37900234?campaign=3,2024-09-14,5750,Peugeot,5008,ACTIVE,Medium Trim,2013,138000.0,Diesel,Automatic,MPV,,,,7.0,5,Beige,,,,,,1.6 L,112 hp
https://www.donedeal.ie/cars-for-sale/hyundai-i30-2011/37862287,2024-09-14,3500,Hyundai,i30,Classic,Base Trim,2011,186780.0,Diesel,Manual,Hatchback,,,,4.0,5,Red,,,,,,1.6 L,90 hp
https://www.donedeal.ie/cars-for-sale/opel-insignia-2009/37917431,2024-09-14,1500,Opel,Insignia,,,2009,274000.0,Diesel,Manual,Saloon,,,,5.0,4,Blue,,,,,2024-09-15,2.0 L,
https://www.donedeal.ie/cars-for-sale/suzuki-swift-08/37917399,2024-09-14,2500,Suzuki,Swift,,,2008,158161.0,Petrol,Manual,Hatchback,,,,5.0,5,Black,,,,,2024-09-16,1.3 L,
https://www.donedeal.ie/cars-for-sale/fiat-500-sport/37838290,2024-09-14,5950,Fiat,500,Lounge,Luxury Trim,2011,100000.0,Petrol,Manual,Hatchback,,,,4.0,3,White,,,,,,1.2 L,69 hp
https://www.donedeal.ie/cars-for-sale/audi-a4-2-0-tdi-technik-136ps-4dr-2012/37722850,2024-09-14,6500,Audi,A4,-,Base Trim,2012,288766.0,Diesel,Manual,Saloon,,,,5.0,4,Grey,,,,,2024-09-16,2.0 L,136 hp
https://www.donedeal.ie/cars-for-sale/ford-focus/37862242,2024-09-14,6700,Ford,Focus,Style,Medium Trim,2015,191511.0,Diesel,Manual,Hatchback,,,,5.0,4,Black,,,,,2024-09-14,1.6 L,95 hp
https://www.donedeal.ie/cars-for-sale/vw-passat-cc-sport-2008-low-mls-mint/37917402,2024-09-14,4450,Volkswagen,Passat,,,2008,252666.0,Diesel,Unknown,Coupe,,,,4.0,4,Silver,,,,,,2.0 L,
https://www.donedeal.ie/cars-for-sale/audi-a6-3-0t-quattro-s-line-nct-09-25-low-mileage/37865630,2024-09-14,6000,Audi,A6,,,2008,238.0,Diesel,---,Saloon,,,,5.0,---,Black,,,,,,3.0 L,
https://www.donedeal.ie/cars-for-sale/automatic-2-0-diesel-nct-tax-2025/37740263,2024-09-14,1750,Volkswagen,Passat,,,2007,265541.0,Diesel,---,Saloon,,,,5.0,---,Silver,,,,,2024-09-19,2.0 L,
https://www.donedeal.ie/cars-for-sale/volkswagen-polo/37917378,2024-09-14,2950,Volkswagen,Fox,,,2010,186683.0,Petrol,---,Hatchback,,,,4.0,3,Grey,,,,,,1.2 L,
https://www.donedeal.ie/cars-for-sale/vw-scirocco/37715995,2024-09-14,6900,Volkswagen,Scirocco,SPORT,Base Trim,2011,169800.0,Diesel,Manual,Hatchback,,,,4.0,3,Black,,,,,,2.0 L,140 hp
https://www.donedeal.ie/cars-for-sale/2011-ford-focus-1-6-diesel-nct-7-25/37626978,2024-09-14,1995,Ford,Focus,Style,Base Trim,2011,,Diesel,Manual,Hatchback,,,,5.0,3,Silver,,,,,2024-09-16,1.6 L,109 hp
https://www.donedeal.ie/cars-for-sale/volvo-s60-2013/37376903,2024-09-14,6750,Volvo,S60,R-DESIGN,Sports Trim,2013,150000.0,Diesel,Manual,Saloon,,,,5.0,4,White,,,,,,1.6 L,115 hp
https://www.donedeal.ie/cars-for-sale/fiat-punto-2006/37917353,2024-09-14,950,Fiat,Punto,,,2006,136121.0,Petrol,Manual,Hatchback,,,,5.0,5,Grey,,,,,,1.2 L,
https://www.donedeal.ie/cars-for-sale/ford-focus/37917346,2024-09-14,1650,Ford,Focus C-MAX,,,2006,,Petrol,Manual,Hatchback,,,,5.0,5,Silver,,,,,,1.6 L,
https://www.donedeal.ie/cars-for-sale/2014-ford-mondeo-nct-tax/37722802,2024-09-14,4250,Ford,Mondeo,Graphite,Base Trim,2014,290000.0,Diesel,Manual,Saloon,,,,5.0,4,Black,,,,,,1.6 L,115 hp
https://www.donedeal.ie/cars-for-sale/skoda-superb-1-6-tdi-new-nct/37915330,2024-09-14,4200,Skoda,Superb,AMBITION,Medium Trim,2011,232924.0,Diesel,Manual,Saloon,,,,5.0,4,Blue,,,,,2024-09-21,1.6 L,105 hp
https://www.donedeal.ie/cars-for-sale/polo-2007-1-2-petrol-new-nct-low-milage/37638855,2024-09-14,2950,Volkswagen,Polo,,,2007,168980.0,Petrol,Manual,Hatchback,,,,5.0,5,Black,,,,,2024-09-25,1.2 L,
https://www.donedeal.ie/cars-for-sale/2011-opel-insignia-2-0-diesel/37917324,2024-09-14,2250,Opel,Insignia,SE,Medium Trim,2011,319007.0,Diesel,Manual,Hatchback,,,,5.0,5,Black,,,,,,2.0 L,160 hp
https://www.donedeal.ie/cars-for-sale/nissan-note-1-4-pet-nct3-25-167km-975e/37917312,2024-09-14,975,Nissan,Note,,,2006,167.0,Petrol,Manual,MPV,,,,5.0,5,Blue,,,,,2024-09-19,1.4 L,
https://www.donedeal.ie/cars-for-sale/toyota-corolla/37917307,2024-09-14,3250,Toyota,Corolla,,,2010,187000.0,Diesel,Manual,Saloon,,,,5.0,4,Red,,,,,2024-09-26,1.4 L,
https://www.donedeal.ie/cars-for-sale/toyota-auris-sport/37917245,2024-09-14,4750,Toyota,Auris,Sport,Medium Trim,2011,265546.0,Diesel,Manual,Hatchback,,,,5.0,5,Silver,,,,,,1.4 L,90 hp
https://www.donedeal.ie/cars-for-sale/audi-a4-black-leather/37862165,2024-09-14,6000,Audi,A4,-,Base Trim,2012,201000.0,Diesel,Manual,Saloon,,,,5.0,4,Black,,,,,2024-09-15,2.0 L,136 hp
https://www.donedeal.ie/cars-for-sale/skoda-superb-2009/37917281,2024-09-14,2750,Skoda,Superb,,,2009,428301.0,Diesel,---,Hatchback,,,,5.0,---,Grey,,,,,,2.0 L,
https://www.donedeal.ie/cars-for-sale/bmw-630i-e63-m-sport/37917283,2024-09-14,6250,BMW,6-Series,,,2007,195000.0,Petrol,Automatic,Coupe,,,,4.0,2,Black,,,,,,3.0 L,
https://www.donedeal.ie/cars-for-sale/saab-93-1-9d-vector-sport/37534234,2024-09-14,3300,Saab,9-3,Linear,Base Trim,2011,325891.0,Diesel,Manual,Saloon,,,,5.0,4,White,,,,,,1.9 L,150 hp
https://www.donedeal.ie/cars-for-sale/volkswagon-golf/37891858?campaign=3,2024-09-14,4750,Volkswagen,Golf,HIGHLINE,Luxury Trim,2011,329914.0,Diesel,Manual,Estate/Jeep,,,,5.0,4,Black,,,,,2024-09-21,1.598 L,105 hp
https://www.donedeal.ie/cars-for-sale/volkswagen-passat-2009/37910472?campaign=3,2024-09-14,3000,Volkswagen,Passat,,,2009,185000.0,Diesel,---,Saloon,,,,5.0,---,Grey,,,,,,2.0 L,
